time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-0.6213106553276639,1.0,88167733831.5204,529035359933.11975,293909.693789996,2.999826947743774e-07,1.799994692014341e-06,1.0000009995937388e-12,-5.768408540862138e-05,-2.948880921673715e-06,9.995937387809113e-07
-0.6083041520760379,1.0,88167685896.53018,529035345215.52216,293909.6965588879,2.999825316799333e-07,1.7999946419390538e-06,1.0000010090146415e-12,-5.822773355573878e-05,-2.9767005256348426e-06,1.0090146416908986e-06
-0.5952976488244122,1.0,88167637962.43156,529035330497.9248,293909.6993277292,2.9998236858852276e-07,1.7999945918637677e-06,1.0000010184353722e-12,-5.8771371590878785e-05,-3.004520129134489e-06,1.0184353723006292e-06
-0.5822911455727864,1.0,88167590029.22449,529035315780.32776,293909.7020965198,2.9998220550014555e-07,1.7999945417884823e-06,1.0000010278559305e-12,-5.931499951473362e-05,-3.0323397320572843e-06,1.0278559306101034e-06
-0.5692846423211606,1.0,88167542096.90897,529035301062.731,293909.7048652598,2.9998204241480184e-07,1.799994491713198e-06,1.0000010372763165e-12,-5.985861732713024e-05,-3.0601593344032275e-06,1.0372763166193211e-06
-0.5562781390695348,1.0,88167494165.48497,529035286345.13446,293909.7076339491,2.9998187933249146e-07,1.7999944416379145e-06,1.00000104669653e-12,-6.0402225028414734e-05,-3.08797893640306e-06,1.0466965301302362e-06
-0.543271635817909,1.0,88167446234.95248,529035271627.53827,293909.7104025878,2.9998171625321435e-07,1.7999943915626321e-06,1.0000010561165713e-12,-6.094582261876017e-05,-3.1157985377106708e-06,1.0561165713408948e-06
-0.530265132566283,1.0,88167398305.31148,529035256909.94226,293909.7131711758,2.999815531769704e-07,1.7999943414873504e-06,1.00000106553644e-12,-6.148941009851266e-05,-3.1436181386721704e-06,1.065536440251297e-06
-0.5172586293146573,1.0,88167350376.56197,529035242192.34656,293909.7159397132,2.9998139010375977e-07,1.7999942914120697e-06,1.0000010749561368e-12,-6.203298746749915e-05,-3.171437739056818e-06,1.0749561368614427e-06
-0.5042521260630315,1.0,88167302448.7039,529035227474.75116,293909.7187081999,2.999812270335821e-07,1.7999942413367901e-06,1.000001084375661e-12,-6.257655472623879e-05,-3.1992573388646144e-06,1.084375661171332e-06
-0.4912456228114057,1.0,88167254521.73729,529035212757.156,293909.72147663595,2.999810639664376e-07,1.7999941912615112e-06,1.0000010937950129e-12,-6.31201118747316e-05,-3.22707693821093e-06,1.0937950129829183e-06
-0.47823911955977993,1.0,88167206595.66211,529035198039.5611,293909.7242450214,2.9998090090232604e-07,1.7999941411862333e-06,1.0000011032141926e-12,-6.366365891315062e-05,-3.254896537095764e-06,1.1032141926922947e-06
-0.46523261630815416,1.0,88167158670.47833,529035183321.9665,293909.72701335617,2.9998073784124744e-07,1.7999940911109562e-06,1.0000011126331997e-12,-6.420719584184197e-05,-3.282716135403746e-06,1.1126331999033683e-06
-0.45222611305652816,1.0,88167110746.18596,529035168604.37213,293909.72978164034,2.9998057478320174e-07,1.7999940410356802e-06,1.000001122052035e-12,-6.475072266080566e-05,-3.3105357332502472e-06,1.1220520350122318e-06
-0.4392196098049024,1.0,88167062822.78494,529035153886.7781,293909.7325498738,2.9998041172818885e-07,1.799993990960405e-06,1.0000011314706975e-12,-6.529423937056082e-05,-3.3383553305198966e-06,1.1314706976227924e-06
-0.4262131065532766,1.0,88167014900.2753,529035139169.18427,293909.73531805666,2.999802486762087e-07,1.7999939408851308e-06,1.0000011408891878e-12,-6.583774597093444e-05,-3.366174927328065e-06,1.1408891879330966e-06
-0.4132066033016508,1.0,88166966978.65701,529035124451.5907,293909.7380861889,2.9998008562726136e-07,1.7999938908098573e-06,1.000001150307506e-12,-6.638124246209955e-05,-3.3939945236747517e-06,1.1503075061411906e-06
-0.40020010005002504,1.0,88166919057.93004,529035109733.99744,293909.74085427047,2.999799225813466e-07,1.799993840734585e-06,1.0000011597256518e-12,-6.692472884457532e-05,-3.4218141194445873e-06,1.1597256518509819e-06
